Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (tuned),0.7964543663821405,0.7965517241379311,0.7064220183486238,0.7487844408427877,0.861403490250314
XGBoost (tuned),0.783322390019698,0.7793103448275862,0.691131498470948,0.7325769854132901,0.8409592381837185
Linear SVM,0.7701904136572554,0.7345679012345679,0.72782874617737,0.7311827956989247,N/A
Naive Bayes,0.7806959947472094,0.7797202797202797,0.6819571865443425,0.7275693311582382,0.8317761284896344
